persons,prediction,reference,pred.score
person1,Female,Male,0.0661431865300983
person2,Male,Male,0.511219900334254
person3,Male,Male,0.622303780866787
person4,Female,Female,0.00090275751426816
person5,Male,Male,0.837437230860814
person6,Male,Male,0.972632631659508
person7,Male,Female,0.796910103876144
person8,Female,Female,0.481312691001222
person9,Male,Female,0.600060662953183
person10,Male,Female,0.804724816931412
person11,Male,Female,0.529187762876973
person12,Female,Male,0.122931188205257
person13,Male,Female,0.620216202922165
person14,Female,Male,0.370538233080879
person15,Female,Female,0.493017785483971
person16,Female,Female,0.217521094484255
person17,Female,Male,0.346066248603165
person18,Female,Male,0.195892863674089
person19,Male,Female,0.632826373912394
person20,Male,Female,0.909632361261174
person21,Male,Female,0.837880153441802
person22,Male,Female,0.776609170949087
person23,Female,Female,0.0234459943603724
person24,Female,Female,0.197315653786063
person25,Male,Female,0.531701407162473
person26,Male,Male,0.707695358432829
person27,Female,Female,0.0211402005515993
person28,Female,Male,0.445540010929108
person29,Female,Male,0.30315176025033
person30,Female,Female,0.187509609619156
person31,Female,Female,0.312585250707343
person32,Male,Male,0.789767753100023
person33,Female,Female,0.154615430394188
person34,Female,Female,0.186471588443965
person35,Male,Female,0.983285583090037
person36,Male,Female,0.693632576614618
person37,Male,Female,0.65334644424729
person38,Female,Male,0.272377728950232
person39,Female,Male,0.0955633670091629
