persons,prediction,reference,pred.score
person1,Female,Male,0.446636977838352
person2,Male,Male,0.90906493156217
person3,Female,Male,0.0380003883037716
person4,Male,Female,0.608569739386439
person5,Male,Male,0.756175950635225
person6,Female,Male,0.434028564253822
person7,Female,Female,0.0427514528855681
person8,Female,Female,0.247298600617796
person9,Male,Female,0.994849343085662
person10,Male,Female,0.507539835758507
person11,Male,Female,0.759782674722373
person12,Male,Male,0.518776398384944
person13,Female,Female,0.272756960941479
person14,Female,Male,0.128228586865589
person15,Male,Female,0.583557445555925
person16,Female,Female,0.0471985035110265
person17,Female,Male,0.48550435854122
person18,Male,Male,0.581087777391076
person19,Female,Female,0.233614269178361
person20,Female,Female,0.0442196365911514
person21,Female,Female,0.357128921663389
person22,Male,Female,0.678938108496368
person23,Male,Female,0.843089623609558
person24,Male,Female,0.503837033174932
person25,Male,Female,0.613750907825306
person26,Male,Male,0.505625624442473
person27,Female,Female,0.254909426672384
person28,Male,Male,0.590657835127786
person29,Male,Male,0.934637438273057
person30,Female,Female,0.046042999252677
person31,Female,Female,0.39127214346081
person32,Female,Male,0.158030881313607
person33,Female,Female,0.110263518290594
person34,Female,Female,0.251983676571399
person35,Male,Female,0.720100308069959
person36,Male,Female,0.771603499772027
person37,Female,Female,0.153926017927006
person38,Male,Male,0.941526391310617
person39,Female,Male,0.32806378044188
