persons,prediction,reference,pred.score
person1,Female,Male,0.269937580451369
person2,Female,Male,0.134420924354345
person3,Male,Male,0.676766895223409
person4,Female,Female,0.290945845423266
person5,Male,Male,0.866583615075797
person6,Male,Male,0.600105564575642
person7,Female,Female,0.449887695489451
person8,Female,Female,0.309103996492922
person9,Female,Female,0.360428950283676
person10,Male,Female,0.828671522205696
person11,Female,Female,0.0114343876484782
person12,Male,Male,0.613402992719784
person13,Female,Female,0.460862365085632
person14,Female,Male,0.103069313568994
person15,Male,Female,0.909451755229384
person16,Male,Female,0.782998552545905
person17,Female,Male,0.386713885469362
person18,Female,Male,0.0241158371791244
person19,Male,Female,0.730115916579962
person20,Male,Female,0.786446656100452
person21,Male,Female,0.938732758397236
person22,Female,Female,0.0374767428729683
person23,Male,Female,0.573658592067659
person24,Female,Female,0.487182667478919
person25,Female,Female,0.0294632411096245
person26,Male,Male,0.596771399490535
person27,Female,Female,0.466239428846166
person28,Female,Male,0.270372200524434
person29,Female,Male,0.408422806998715
person30,Female,Female,0.42113628028892
person31,Female,Female,0.436845648800954
person32,Female,Male,0.0104759961832315
person33,Male,Female,0.802505389321595
person34,Female,Female,0.297177493106574
person35,Male,Female,0.745386441238225
person36,Female,Female,0.295670730993152
person37,Female,Female,0.293724880320951
person38,Female,Male,0.446225513704121
person39,Female,Male,0.319675676524639
