persons,prediction,reference,pred.score
person1,Male,Male,0.556286106351763
person2,Male,Male,0.711544148158282
person3,Female,Male,0.197341127321124
person4,Female,Female,0.110801177099347
person5,Female,Male,0.118511674460024
person6,Male,Male,0.754110569600016
person7,Male,Female,0.901030815439299
person8,Female,Female,0.053159527014941
person9,Male,Female,0.515324907144532
person10,Male,Female,0.876105086645111
person11,Female,Female,0.362773402826861
person12,Female,Male,0.423703809734434
person13,Female,Female,0.297146187862381
person14,Female,Male,0.00240429234690964
person15,Male,Female,0.616545772878453
person16,Female,Female,0.0696022112388164
person17,Female,Male,0.300863669253886
person18,Male,Male,0.994415700435638
person19,Male,Female,0.631333737168461
person20,Male,Female,0.876780874328688
person21,Male,Female,0.688958588754758
person22,Male,Female,0.665703459409997
person23,Female,Female,0.449402560247108
person24,Female,Female,0.335483179660514
person25,Male,Female,0.692209841916338
person26,Male,Male,0.555490295402706
person27,Female,Female,0.146770781138912
person28,Female,Male,0.019332786090672
person29,Female,Male,0.476919905748218
person30,Male,Female,0.518256907351315
person31,Female,Female,0.0602179470006377
person32,Male,Male,0.995165240718052
person33,Male,Female,0.552716344129294
person34,Female,Female,0.106514517217875
person35,Female,Female,0.369333367561921
person36,Female,Female,0.399062037002295
person37,Male,Female,0.618162569357082
person38,Female,Male,0.0796946696937084
person39,Female,Male,0.0879861395806074
