persons,prediction,reference,pred.score
person1,Female,Male,0.001277981325984
person2,Male,Male,0.535067348740995
person3,Female,Male,0.441446929005906
person4,Male,Female,0.572912907227874
person5,Male,Male,0.754301520762965
person6,Male,Male,0.641660117544234
person7,Male,Female,0.759229088202119
person8,Female,Female,0.310008234344423
person9,Female,Female,0.443470730213448
person10,Female,Female,0.178832661826164
person11,Male,Female,0.778916853712872
person12,Female,Male,0.316324701299891
person13,Male,Female,0.58923322102055
person14,Male,Male,0.626294741872698
person15,Male,Female,0.848799026804045
person16,Female,Female,0.373184080701321
person17,Male,Male,0.515453754924238
person18,Male,Male,0.650832209270447
person19,Female,Female,0.371026300126687
person20,Male,Female,0.609025360317901
person21,Male,Female,0.599352551391348
person22,Male,Female,0.660604045260698
person23,Female,Female,0.459740348393098
person24,Female,Female,0.293003535596654
person25,Male,Female,0.96443722769618
person26,Male,Male,0.58874089946039
person27,Male,Female,0.668769020587206
person28,Male,Male,0.686709575355053
person29,Male,Male,0.705540120368823
person30,Female,Female,0.2812058867421
person31,Male,Female,0.954532109200954
person32,Female,Male,0.305193135980517
person33,Male,Female,0.984442730434239
person34,Female,Female,0.169686840614304
person35,Male,Female,0.948089897399768
person36,Male,Female,0.911239894805476
person37,Male,Female,0.946124869864434
person38,Male,Male,0.816531682154164
person39,Female,Male,0.203579455148429
