persons,prediction,reference,pred.score
person1,Male,Male,0.743488931329921
person2,Female,Male,0.376609210390598
person3,Male,Male,0.653934396104887
person4,Female,Female,0.368889887584373
person5,Female,Male,0.106963651953265
person6,Male,Male,0.847940717590973
person7,Female,Female,0.0318185589276254
person8,Female,Female,0.196240999968722
person9,Male,Female,0.710874365177006
person10,Female,Female,0.113008097978309
person11,Male,Female,0.625555092701688
person12,Female,Male,0.0269440372940153
person13,Female,Female,0.154013758059591
person14,Female,Male,0.166406189091504
person15,Male,Female,0.843890838790685
person16,Male,Female,0.740994391264394
person17,Male,Male,0.760280120652169
person18,Male,Male,0.928415215574205
person19,Male,Female,0.697885846486315
person20,Male,Female,0.939649654552341
person21,Female,Female,0.149585657985881
person22,Female,Female,0.177522780839354
person23,Male,Female,0.786805299576372
person24,Male,Female,0.506006894633174
person25,Male,Female,0.846151066478342
person26,Female,Male,0.28778182528913
person27,Male,Female,0.595154295442626
person28,Male,Male,0.81978837470524
person29,Female,Male,0.279889519559219
person30,Female,Female,0.181451287353411
person31,Female,Female,0.0520027410238981
person32,Female,Male,0.141606596764177
person33,Male,Female,0.685162676963955
person34,Female,Female,0.428503815550357
person35,Female,Female,0.0369371634442359
person36,Female,Female,0.129273847443983
person37,Male,Female,0.815196495736018
person38,Male,Male,0.643035623244941
person39,Male,Male,0.912351471371949
