persons,prediction,reference,pred.score
person1,Male,Male,0.807018548483029
person2,Male,Male,0.740809247596189
person3,Female,Male,0.0944965328089893
person4,Female,Female,0.148418645840138
person5,Female,Male,0.444142119726166
person6,Male,Male,0.920627544866875
person7,Female,Female,0.127803329611197
person8,Male,Female,0.891108539421111
person9,Male,Female,0.867269426118582
person10,Male,Female,0.90257207932882
person11,Male,Female,0.510640445863828
person12,Female,Male,0.463697282597423
person13,Male,Female,0.907982537057251
person14,Female,Male,0.102669007377699
person15,Male,Female,0.684109007241204
person16,Male,Female,0.866493969690055
person17,Female,Male,0.0235048977192491
person18,Female,Male,0.0329399963375181
person19,Female,Female,0.35579092730768
person20,Female,Female,0.28061004774645
person21,Female,Female,0.324504365911707
person22,Male,Female,0.601762370206416
person23,Female,Female,0.080842869123444
person24,Female,Female,0.33106270711869
person25,Male,Female,0.931398683460429
person26,Female,Male,0.372654739534482
person27,Male,Female,0.783865585690364
person28,Male,Male,0.816867601592094
person29,Male,Male,0.813288301462308
person30,Male,Female,0.749440415063873
person31,Female,Female,0.260632697260007
person32,Female,Male,0.417145278770477
person33,Female,Female,0.34783944603987
person34,Female,Female,0.0316362243611366
person35,Female,Female,0.145684072049335
person36,Male,Female,0.887808996252716
person37,Female,Female,0.376730868127197
person38,Female,Male,0.19712333730422
person39,Female,Male,0.366649072850123
