persons,prediction,reference,pred.score
person1,Female,Male,0.0885431715287268
person2,Male,Male,0.684863070724532
person3,Male,Male,0.721046450547874
person4,Male,Female,0.660316071007401
person5,Male,Male,0.905134253203869
person6,Male,Male,0.841867836425081
person7,Female,Female,0.396519389003515
person8,Female,Female,0.317679058760405
person9,Male,Female,0.510395984398201
person10,Male,Female,0.776803408749402
person11,Male,Female,0.961490698391572
person12,Female,Male,0.376946086296812
person13,Female,Female,0.106490929378197
person14,Female,Male,0.306649333564565
person15,Male,Female,0.785273118177429
person16,Female,Female,0.19893313315697
person17,Male,Male,0.681856071809307
person18,Male,Male,0.553935491945595
person19,Male,Female,0.830488300183788
person20,Male,Female,0.91600214317441
person21,Male,Female,0.537402551388368
person22,Female,Female,0.264195964904502
person23,Male,Female,0.671651183627546
person24,Male,Female,0.971956592751667
person25,Female,Female,0.206522283144295
person26,Male,Male,0.89717737166211
person27,Female,Female,0.20539969438687
person28,Female,Male,0.426990252221003
person29,Female,Male,0.310745787108317
person30,Female,Female,0.105902871582657
person31,Female,Female,0.438681880943477
person32,Male,Male,0.539858566131443
person33,Male,Female,0.507592748850584
person34,Male,Female,0.738366770558059
person35,Male,Female,0.630654342472553
person36,Female,Female,0.479457515757531
person37,Female,Female,0.32073658448644
person38,Female,Male,0.2364387572743
person39,Male,Male,0.690185795305297
