persons,prediction,reference,pred.score
person1,Female,Male,0.270269643748179
person2,Female,Male,0.262257362250239
person3,Female,Male,0.26611507195048
person4,Male,Female,0.657952646492049
person5,Male,Male,0.664725289912894
person6,Male,Male,0.814441250171512
person7,Male,Female,0.866539691574872
person8,Male,Female,0.522980073234066
person9,Female,Female,0.0511112450622022
person10,Male,Female,0.910012997454032
person11,Female,Female,0.281610033474863
person12,Female,Male,0.0764709012582898
person13,Male,Female,0.80295911221765
person14,Male,Male,0.668653140310198
person15,Female,Female,0.19851922756061
person16,Male,Female,0.641956410370767
person17,Male,Male,0.789704215014353
person18,Female,Male,0.211085728602484
person19,Female,Female,0.339134025853127
person20,Female,Female,0.290731051936746
person21,Male,Female,0.865352026419714
person22,Male,Female,0.560890864348039
person23,Female,Female,0.353640638524666
person24,Female,Female,0.422212696168572
person25,Female,Female,0.465734201483428
person26,Male,Male,0.944331107195467
person27,Male,Female,0.896772590698674
person28,Female,Male,0.187887788750231
person29,Male,Male,0.759041065117344
person30,Female,Female,0.119237586390227
person31,Male,Female,0.751467713853344
person32,Male,Male,0.582725878339261
person33,Female,Female,0.375105667393655
person34,Male,Female,0.609430919634178
person35,Female,Female,0.44316086685285
person36,Female,Female,0.329438203480095
person37,Female,Female,0.363553337519988
person38,Female,Male,0.495290018152446
person39,Male,Male,0.748407595325261
