persons,prediction,reference,pred.score
person1,Female,Male,0.248465628130361
person2,Male,Male,0.839837374864146
person3,Male,Male,0.805995789822191
person4,Male,Female,0.809090320486575
person5,Female,Male,0.237694018287584
person6,Female,Male,0.347589911660179
person7,Female,Female,0.253672658000141
person8,Male,Female,0.931961951544508
person9,Male,Female,0.658916084794328
person10,Male,Female,0.920103995362297
person11,Female,Female,0.42031546565704
person12,Female,Male,0.356957057956606
person13,Male,Female,0.695222280453891
person14,Male,Male,0.955488624284044
person15,Male,Female,0.663128812564537
person16,Male,Female,0.589740816969424
person17,Female,Male,0.0645230822265148
person18,Male,Male,0.511261960957199
person19,Male,Female,0.67667255573906
person20,Male,Female,0.809456241549924
person21,Female,Female,0.0595278264954686
person22,Male,Female,0.803938279859722
person23,Male,Female,0.599690792616457
person24,Female,Female,0.12643601000309
person25,Female,Female,0.121682812925428
person26,Male,Male,0.538024323992431
person27,Male,Female,0.54245832003653
person28,Female,Male,0.461891316110268
person29,Female,Male,0.12537638633512
person30,Female,Female,0.206851206487045
person31,Female,Female,0.398066154448316
person32,Female,Male,0.0601420449092984
person33,Male,Female,0.515241530258209
person34,Male,Female,0.541319443844259
person35,Female,Female,0.444938828703016
person36,Female,Female,0.136683888733387
person37,Female,Female,0.262152034789324
person38,Male,Male,0.512625552015379
person39,Male,Male,0.802041440503672
