persons,prediction,reference,pred.score
person1,Female,Female,0.277047060197219
person2,Male,Female,0.693091511493549
person3,Male,Female,0.550441822269931
person4,Female,Female,0.49640371860005
person5,Male,Male,0.957568415207788
person6,Female,Female,0.340981188463047
person7,Male,Male,0.8397109687794
person8,Female,Male,0.311223585158587
person9,Female,Female,0.465052538085729
person10,Female,Male,0.079328398918733
person11,Male,Male,0.797847627894953
person12,Male,Female,0.718679451616481
person13,Male,Male,0.706022894009948
person14,Male,Male,0.971510748378932
person15,Male,Male,0.842237711185589
person16,Male,Male,0.888853497570381
person17,Female,Female,0.148555921157822
person18,Female,Male,0.0134869208559394
person19,Male,Male,0.947840652894229
person20,Male,Female,0.592187789268792
person21,Male,Female,0.993979732273147
