persons,prediction,reference,pred.score
person1,Male,Female,0.650965888751671
person2,Male,Female,0.662592445500195
person3,Male,Female,0.542952273506671
person4,Female,Female,0.399706311523914
person5,Male,Male,0.962022113148123
person6,Female,Female,0.404352222103626
person7,Female,Male,0.193688884144649
person8,Male,Male,0.553591186879203
person9,Male,Female,0.613044595578685
person10,Female,Male,0.300576984882355
person11,Male,Male,0.544288464589044
person12,Male,Female,0.67268738639541
person13,Male,Male,0.953712767222896
person14,Male,Male,0.565355748869479
person15,Female,Male,0.424514732090756
person16,Male,Male,0.760852995095775
person17,Female,Female,0.221514750039205
person18,Female,Male,0.0299438431393355
person19,Female,Male,0.484328182181343
person20,Female,Female,0.188255843240768
person21,Male,Female,0.538069583941251
