persons,prediction,reference,pred.score
person1,Female,Female,0.490284962812439
person2,Male,Female,0.632916911737993
person3,Male,Female,0.603095681406558
person4,Female,Female,0.040836184984073
person5,Female,Male,0.125184717355296
person6,Female,Female,0.367814405355603
person7,Female,Male,0.280275859404355
person8,Female,Male,0.000461983494460583
person9,Male,Female,0.50738858198747
person10,Female,Male,0.443516519619152
person11,Male,Male,0.829771545017138
person12,Female,Female,0.171579203568399
person13,Male,Male,0.983558768872172
person14,Male,Male,0.657848004484549
person15,Male,Male,0.746463334187865
person16,Female,Male,0.0213123590219766
person17,Male,Female,0.583424012875184
person18,Male,Male,0.601934857200831
person19,Male,Male,0.542320664273575
person20,Male,Female,0.851703167660162
person21,Female,Female,0.395778839010745
