persons,prediction,reference,pred.score
person1,Male,Female,0.987925113644451
person2,Male,Female,0.861741281114519
person3,Female,Female,0.34389606048353
person4,Female,Female,0.159138273214921
person5,Female,Male,0.489628728013486
person6,Male,Female,0.576256870059296
person7,Male,Male,0.843525968492031
person8,Female,Male,0.133463660022244
person9,Male,Female,0.904760369099677
person10,Male,Male,0.631559346569702
person11,Male,Male,0.524947057012469
person12,Female,Female,0.186204394791275
person13,Male,Male,0.903006338747218
person14,Female,Male,0.200010772561654
person15,Female,Male,0.312271354952827
person16,Female,Male,0.422536454861984
person17,Male,Female,0.683201520703733
person18,Female,Male,0.434234862448648
person19,Female,Male,0.0180190007667989
person20,Male,Female,0.736196444602683
person21,Female,Female,0.370099118677899
