persons,prediction,reference,pred.score
person1,Male,Female,0.761542347958311
person2,Female,Female,0.423779753036797
person3,Female,Female,0.049186376389116
person4,Male,Female,0.833532122895122
person5,Female,Male,0.344177089165896
person6,Female,Female,0.0840927690733224
person7,Male,Male,0.78845610562712
person8,Female,Male,0.426406273152679
person9,Male,Female,0.734324728837237
person10,Female,Male,0.255318779265508
person11,Female,Male,0.240138306748122
person12,Female,Female,0.0449733135756105
person13,Female,Male,0.0188539859373122
person14,Male,Male,0.810361436568201
person15,Male,Male,0.858934491639957
person16,Male,Male,0.641301109921187
person17,Male,Female,0.894293679622933
person18,Male,Male,0.759027700638399
person19,Female,Male,0.0471022760029882
person20,Female,Female,0.380378312198445
person21,Female,Female,0.0918411165475845
