persons,prediction,reference,pred.score
person1,Female,Female,0.21703054360114
person2,Female,Female,0.310879754135385
person3,Female,Female,0.128668073564768
person4,Female,Female,0.340432874858379
person5,Female,Male,0.477058667922392
person6,Male,Female,0.860437089810148
person7,Male,Male,0.680377930169925
person8,Female,Male,0.170116620603949
person9,Male,Female,0.51390841905959
person10,Male,Male,0.786691884277388
person11,Male,Male,0.697471280116588
person12,Male,Female,0.87627204018645
person13,Male,Male,0.609841437311843
person14,Female,Male,0.310395730426535
person15,Male,Male,0.751627831021324
person16,Male,Male,0.772419757442549
person17,Female,Female,0.334067817311734
person18,Female,Male,0.340775365941226
person19,Male,Male,0.886364865349606
person20,Female,Female,0.022035701200366
person21,Male,Female,0.828333493322134
