persons,prediction,reference,pred.score
person1,Female,Female,0.428332904586568
person2,Male,Female,0.552360624773428
person3,Male,Female,0.739210670581087
person4,Male,Female,0.711187708890066
person5,Female,Male,0.198011414147913
person6,Male,Female,0.862322707893327
person7,Female,Male,0.333702509989962
person8,Female,Male,0.396077917888761
person9,Male,Female,0.53389491699636
person10,Female,Male,0.437133089173585
person11,Male,Male,0.727183301700279
person12,Female,Female,0.274656978901476
person13,Female,Male,0.347487867809832
person14,Female,Male,0.0864000578876585
person15,Female,Male,0.160824353806674
person16,Female,Male,0.314990577055141
person17,Female,Female,0.247509362874553
person18,Male,Male,0.670023215236142
person19,Female,Male,0.0658657269086689
person20,Male,Female,0.764042596099898
person21,Female,Female,0.0210117562673986
