persons,prediction,reference,pred.score
person1,Male,Female,0.74636548710987
person2,Female,Female,0.176297552185133
person3,Female,Female,0.0513975990470499
person4,Female,Female,0.0674158264882863
person5,Female,Male,0.24334038910456
person6,Male,Female,0.804783560102805
person7,Female,Male,0.108949999092147
person8,Female,Male,0.462354362243786
person9,Male,Female,0.67804690846242
person10,Male,Male,0.82194613898173
person11,Female,Male,0.167584662791342
person12,Male,Female,0.623363582184538
person13,Male,Male,0.733723669080064
person14,Female,Male,0.413445654325187
person15,Male,Male,0.82249981444329
person16,Female,Male,0.490634866058826
person17,Male,Female,0.795433568069711
person18,Female,Male,0.0672339363954961
person19,Male,Male,0.886061290279031
person20,Female,Female,0.479869237868115
person21,Female,Female,0.0714404315222055
