persons,prediction,reference,pred.score
person1,Male,Female,0.853454834083095
person2,Male,Female,0.996870355913416
person3,Female,Female,0.0225727187935263
person4,Male,Female,0.610674676951021
person5,Female,Male,0.149178200634196
person6,Male,Female,0.911960328463465
person7,Female,Male,0.110528194578364
person8,Female,Male,0.477438957896084
person9,Female,Female,0.423071211902425
person10,Male,Male,0.745560231152922
person11,Female,Male,0.37373034353368
person12,Female,Female,0.0517834587953985
person13,Male,Male,0.736070170765743
person14,Female,Male,0.311174563597888
person15,Female,Male,0.17556030722335
person16,Female,Male,0.362688738619909
person17,Male,Female,0.94810467469506
person18,Male,Male,0.890871605137363
person19,Male,Male,0.51056421850808
person20,Female,Female,0.485377862816676
person21,Female,Female,0.327948299935088
