persons,prediction,reference,pred.score
person1,Male,Female,0.780467936769128
person2,Female,Female,0.0265418502967805
person3,Male,Female,0.621154839638621
person4,Female,Female,0.302657376974821
person5,Female,Male,0.122636148706079
person6,Female,Female,0.358307922026142
person7,Female,Male,0.258082226384431
person8,Female,Male,0.364220483927056
person9,Male,Female,0.674511024262756
person10,Female,Male,0.457682321080938
person11,Male,Male,0.827582036145031
person12,Male,Female,0.522356831468642
person13,Male,Male,0.636838873615488
person14,Female,Male,0.332808959065005
person15,Female,Male,0.366266555851325
person16,Male,Male,0.694344791816548
person17,Female,Female,0.303431120235473
person18,Male,Male,0.918439724016935
person19,Female,Male,0.367338953074068
person20,Female,Female,0.0877032186836004
person21,Female,Female,0.178485465468839
