persons,prediction,reference,pred.score
person1,Male,Female,0.766781993908808
person2,Female,Male,0.0059185866266489
person3,Female,Female,0.453006769064814
person4,Male,Female,0.870440725237131
person5,Male,Female,0.591601890977472
person6,Female,Male,0.0664331982843578
person7,Male,Male,0.881956853438169
person8,Male,Female,0.608202051371336
person9,Male,Female,0.887567178811878
person10,Male,Male,0.880571765359491
person11,Male,Male,0.750989185413346
person12,Male,Male,0.724695925135165
person13,Female,Male,0.255803419742733
